"","dem.BirthRate","dem.AdolescentFertRate.var","dem.MortalityUnder5","hs.GovHealthExpend","hs.BasicSanitation","eco.AgeDependancyRate","dem.DeathRate.var","dem.LifeExpectancy","sci.EduExpense","eco.CO2Emissions","dem.MortalityUnder5.var","dem.PopGrowth","hs.DrinkingWater","dem.BirthRate.var","clust_names"
"Bolivia - 2004",28.71466667,-0.7568,63.26666667,24.61649386,37.74933095,73.62746813,-0.214666667,64.20533333,6.16,1.220066804,-3.833333333,1.846833414,82.1428872,-0.548333333,1
"Bolivia - 2008",26.514,-1.107,49.6,39.23653793,42.62535765,70.79359473,-0.176666667,66.395,5.79,1.418150587,-3.1,1.720878032,85.52426704,-0.535,1
"Bolivia - 2012",24.552,-1.8074,38.96666667,70.55057144,49.59155767,67.56571946,-0.139,68.51266667,6.606082448,1.640312362,-2.333333333,1.622021966,88.65837722,-0.456,1
"Bolivia - 2016",22.829,-1.5978,31.06666667,128.6472829,56.91916005,64.40090285,-0.069333333,70.26466667,6.08,1.901348722,-1.633333333,1.512674834,91.49422168,-0.404,1
"Botswana - 2004",28.92933333,-0.6162,57.5,142.8938344,55.93373367,67.98288135,-0.147333333,50.63333333,8.259679829,2.2497311,-4.1,1.760944047,75.93464295,-0.120666667,1
"Botswana - 2008",28.35266667,-0.4448,38.1,173.9630992,61.60519131,64.14110068,-0.801666667,55.03233333,7.933333333,2.28733683,-2.1,2.092564566,78.87025463,-0.145333333,1
"Botswana - 2012",27.73733333,-0.102,36.5,265.46492,68.52652728,62.15238513,-0.729333333,61.87733333,9.48,2.264251504,1.4,1.436935796,84.26932569,-0.196666667,1
"Botswana - 2016",26.41766667,-0.4178,41.2,265.0438029,74.66568893,63.11085336,-0.336333333,67.26033333,9.48,2.926465671,2.4,1.53820006,88.4380476,-0.452333333,1
"Brazil - 2004",18.36833333,-1.938,28.33333333,112.4271545,75.70727754,51.73046345,-0.029333333,71.17133333,3.805,1.818544692,-1.966666667,1.25714035,94.52196453,-0.586666667,1
"Brazil - 2008",16.32466667,-1.765266667,21.86666667,256.7796936,79.40187157,48.47218359,-0.003666667,72.61466667,4.933333333,1.925527398,-1.333333333,1.040790171,95.58773203,-0.422333333,1
"Brazil - 2012",15.12233333,-1.4198,17.96666667,423.3860779,83.01289222,45.67673809,0.029,73.91633333,5.473333333,2.242665568,-0.733333333,0.915816817,96.56470581,-0.204666667,1
"Brazil - 2016",14.46766667,-0.9884,16.1,373.2443746,86.55234591,43.81243882,0.057,74.98966667,5.960872001,2.446823793,-0.1,0.839462846,97.56675721,-0.156333333,1
"Brunei Darussalam - 2012",17.28133333,-0.7232,9.833333333,781.0740153,96.34904195,40.84442318,0.056333333,74.85133333,2.356690646,23.32035646,0.133333333,1.284537221,99.90000909,-0.047666667,1
"Brunei Darussalam - 2016",16.33733333,-0.8338,10.6,697.1608683,96.34904195,39.34041507,0.083666667,75.32033333,3.663453228,19.13335706,0.2,1.244066427,99.90000909,-0.427666667,1
"Bulgaria - 2004",8.766666667,0.7388,15.13333333,115.0965169,85.85732755,45.94896759,-0.033333333,72.16504065,3.073333333,5.94817628,-0.866666667,-1.239203123,99.70497627,0.266666667,1
"Bulgaria - 2008",10.03333333,0.329066667,11.86666667,205.8369242,85.90004893,45.01845254,0,72.74634146,3.803333333,6.714285365,-0.533333333,-0.732236981,99.52941833,0.333333333,1
"Bulgaria - 2012",9.766666667,-0.4904,10.4,284.1698405,85.94163195,47.25644783,-0.033333333,73.99674797,3.746666667,6.273938716,-0.5,-0.626241655,99.3550976,-0.433333333,1
"Bulgaria - 2016",9.233333333,-0.7792,8.133333333,317.5187683,85.98294246,52.13095835,0.066666667,74.63089431,3.86451013,5.981171221,-0.466666667,-0.635946943,99.18868516,-0.166666667,1
"Burkina Faso - 2004",45.483,-1.4902,165.3666667,4.621812979,13.04732183,97.36084589,-0.461666667,51.98066667,3.729774743,0.083877827,-5.333333333,2.900661787,54.0918624,-0.295,1
"Burkina Faso - 2008",43.93033333,-1.943,139.8333333,7.714589278,15.57991755,96.12927295,-0.557666667,54.84066667,3.418403417,0.110706517,-6.766666667,3.008611113,52.25691315,-0.476666667,1
"Burkina Faso - 2012",41.72066667,-2.8486,117.0333333,8.874321938,17.38630698,94.63775943,-0.435333333,57.74366667,3.66,0.144853653,-4.666666667,3.008541875,50.37080931,-0.593333333,1
"Burkina Faso - 2016",39.44533333,-2.2158,100.7,12.93577226,18.818191,92.27219463,-0.272,59.90766667,4.31,0.178470379,-3.7,2.938894287,48.66511793,-0.533666667,1
"Burundi - 2004",42.849,-1.8584,137.7,2.13999927,45.78343212,102.2700874,-0.552666667,51.68233333,2.805669867,0.027614469,-6.1,2.960805967,52.38836515,0.04,1
"Burundi - 2008",43.08833333,-1.538133333,110,3.725293159,45.91339462,93.53985214,-0.428666667,54.94266667,4.3,0.023944847,-7.2,3.278701244,54.73210015,0.035333333,1
"Burundi - 2012",42.65033333,-0.8976,85.13333333,6.622249285,45.92637148,89.83397082,-0.375,57.907,5.94,0.041676053,-5.466666667,3.207855982,57.1287384,-0.268666667,1
"Burundi - 2016",40.867,-1.02,67.4,6.788306395,45.87407827,90.88813436,-0.239,60.10533333,5.175521639,0.042005081,-3.5,3.156925909,59.58271959,-0.573,1
"Cabo Verde - 2004",25.475,-1.0572,30.06666667,61.40278371,46.48063269,82.94961985,-0.062333333,69.90266667,5.560856667,0.676092602,-1.633333333,1.56234586,79.42380801,-0.624,1
"Cabo Verde - 2008",23.39366667,-1.365933333,27.7,86.08994802,54.84100973,69.5219462,0.040666667,70.67566667,4.936666667,1.016544926,-0.2,1.258085588,81.38973789,-0.419333333,1
"Cabo Verde - 2012",22.082,-1.9834,25.13333333,101.0631714,62.86157137,58.19145556,-0.019333333,71.25,4.998324898,1.122644373,-1.166666667,1.247844582,83.51324008,-0.288,1
