Country Name,Adjusted savings: education expenditure (% of GNI),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Fertility rate, total (births per woman)",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Population density (people per sq. km of land area),Population growth (annual %),"Population, total","Preprimary education, duration (years)","Primary education, duration (years)",Rural population,Rural population (% of total population),Rural population growth (annual %),Scientific and technical journal articles,"Secondary education, duration (years)",Surface area (sq. km),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Urban population,Urban population (% of total population),Urban population growth (annual %)
China,1.8610049333333336,10.491999999999999,14.770000000000001,6.47,1.596,9388226.666666666,73.14133333333334,69.211,71.06566666666667,209328333333.33334,0.07695035872374499,87.62339406911497,4.4082370275989335,7.891418544562374,177092666666.66666,2.681565434014157,81.9869925056678,6.910118744265283,8.421323316052765,133.40520861137898,0.8711194640818073,1252438333.3333333,3.0,5.0,815647889.6666666,65.13033333333334,-0.6500222661743292,53064.35,6.0,9562926.666666666,81.2868472,75.15475,436790443.6666667,34.86966666666667,3.7758066688745267
Colombia,3.38328852045268,98.7616,22.80666666666667,5.236,2.6273333333333335,1109500.0,76.026,69.20133333333332,72.60933333333332,11846690933.333334,1.4309537414271079,73.4230361124698,0.2723425214125767,1.117991785683487,12410260360.666666,2.797092078935346,68.96898139264786,3.084880130056043,4.940705889358441,35.14909058134297,1.6431468243355567,38997916.0,3.0,5.0,10321586.333333334,26.471666666666668,0.025527738591442136,534.68,6.0,1141750.0,82.3400406,70.5333954,28676329.666666668,73.52833333333332,2.231988836246297
Comoros,2.0950574578898835,96.2426,37.818,9.568333333333333,5.467333333333333,1861.0000610351601,60.968333333333334,57.82533333333333,59.38066666666666,7622295.027,2.2490185300689185,91.42274859025378,1.4104994052327358,2.990795480986275,51248715.29333333,0.8773413074888933,56.689267195468865,5.638818315438129,18.454303327019165,284.1823299238147,2.5805988795619768,528863.3333333334,3.0,6.0,380129.6666666667,71.87599999999999,2.64228532855967,0.98,7.0,1861.0000610351601,59.826423999999996,52.834082200000005,148733.66666666666,28.124,2.423123132315587
"Congo, Dem. Rep.",0.9938164666666646,125.00040000000001,45.99433333333334,16.252333333333333,6.759666666666667,2267050.0,51.04466666666667,48.16733333333334,49.61033333333333,1287075264.3333333,2.681258272279452,71.62685612704304,15.066837177093786,15.764866661986247,930484380.4666667,3.270472126819186,37.5460464271126,11.915099627756812,15.952957169273931,20.272366585062834,2.4047504924345566,45958468.666666664,3.0,6.0,30025793.0,65.33999999999999,1.7031629954958767,13.01,6.0,2344860.0,46.8956358,41.264179000000006,15932675.666666666,34.660000000000004,3.740895663329607
"Congo, Rep.",4.857499999999973,122.3904,38.49,12.961666666666666,4.88,341500.0,53.461000000000006,50.436333333333344,51.98233333333334,1818408957.3333333,1.808916684104678,86.31434793411887,7.824337497084593,9.796820849421712,830469450.8000001,9.610604435238017,69.66242196099726,4.90066531030306,9.636514983632841,8.899454367984383,2.8947220174953663,3039163.6666666665,3.0,6.0,1269166.3333333333,41.76933333333333,1.7867660537888732,17.35,7.0,342000.0,44.2737782,38.131794,1769997.3333333333,58.23066666666667,3.697098448466067
Costa Rica,5.158877066666666,77.67880000000001,20.102666666666668,3.9356666666666666,2.4600000000000004,51060.0,79.68366666666667,74.95433333333334,77.28966666666666,6012450354.0,35.76434202304452,49.67515488126747,0.8335238212068784,1.6490933329126325,5679242601.666667,24.859846258019072,49.76082899599074,3.262586338964407,4.072729443510423,76.06534142838485,2.1133911452479235,3883896.3333333335,6.0,6.0,1624640.3333333333,41.842333333333336,-0.003636138412291092,123.27,5.0,51100.0,87.5097356,80.1092468,2259256.0,58.157666666666664,3.6645431317557695
Cote d'Ivoire,3.7166514462578735,137.95,41.300999999999995,14.838666666666668,5.942333333333333,318000.0,51.79533333333333,48.37266666666667,49.922666666666665,4160745159.3333335,5.532146413703224,56.269933908098835,1.7037445730554364,11.501193458143513,2939808377.0,8.645863889422296,56.512647821629294,5.8830627368442165,14.622747957172933,50.39481656184486,2.7961952962876473,16025551.666666666,3.0,6.0,9174097.0,57.254,2.105018873555713,76.76,7.0,322460.0,42.729778399999994,36.2738342,6851454.666666667,42.746,3.72907021702853
Croatia,3.49,17.554000000000002,10.066666666666666,11.4,1.4066666666666665,55910.0,76.48333333333333,68.88,72.58894308943091,4404935617.333333,3.973230276190424,71.42408462987949,0.23550807706117569,24.602685093930067,7978339850.666667,3.3454839843967172,79.98044482401734,1.3845044433862899,16.674071191585966,80.5642043760806,-0.4932990717265993,4504344.666666667,4.0,4.0,2108172.6666666665,46.802,-0.982830882677962,1711.69,8.0,56540.0,87.964632,72.82051080000001,2396172.0,53.198,-0.060640381487150084
Cuba,7.186592650000004,54.82679999999999,13.354000000000001,7.160333333333334,1.6020000000000003,107400.0,78.48066666666666,74.53266666666667,76.468,1527678868.3333333,0.0561021895121828,57.4412994902491,4.7684594377076825,34.65950719624827,3577577334.6666665,1.4835222668447992,59.315120930404625,9.622749115609986,15.603690055093901,103.19612662942266,0.4120658934920483,11083264.0,6.0,6.0,2760883.3333333335,24.911,-0.5268925605252593,947.6,6.0,109890.0,85.646165,79.2575688,8322380.666666667,75.08900000000001,0.7255262606886511
Cyprus,4.683225380532999,10.7228,13.759333333333336,6.864000000000001,1.7866666666666668,9240.0,79.96600000000001,75.802,77.87400000000001,823261286.0,7.335375028509823,63.35437062415949,0.9889756609083733,29.310254347330737,3471904572.0,1.7074503401025336,81.33826150721977,5.445314156316684,16.9542881526777,100.21782106782109,1.8938705411364134,926012.6666666666,3.0,6.0,291432.6666666667,31.47333333333333,1.5079821943627598,153.51,6.0,9250.0,91.0891874,84.40827519999999,634580.0,68.52666666666667,2.0716051531024697
Czech Republic,3.3821781392758936,14.4824,8.799999999999999,10.633333333333333,1.1466666666666667,77270.0,78.2,71.39999999999999,74.7170731707317,27207426333.0,0.5011086651104054,92.40887700005446,0.63344714730277,7.09001433483515,31575850220.0,1.191473885584784,86.59940987081164,3.073087047116457,12.209116243603633,133.01106941029266,-0.1591115980104987,10277765.333333334,3.0,5.0,2659902.6666666665,25.880333333333336,0.3496501078056773,5372.85,8.0,78870.0,87.3439824,72.8709592,7617862.666666667,74.11966666666667,-0.3361481749754667
